,Q1,Q2,Q3,Q4,Q5,Q6,Q25
566,63,Man,USA,3,DBA/Database Engineer,0,118511
567,31,Man,USA,4,Research Scientist,0,69370
568,43,Man,USA,5,Data Scientist,26,72193
569,33,Woman,USA,5,Data Engineer,1,102911
570,43,Man,USA,5,Program/Project Manager,18,122270
571,57,Man,Japan,5,Research Scientist,27,124613
572,41,Woman,USA,5,Other,18,16220
573,26,Man,USA,4,Data Scientist,5,134334
574,31,Woman,USA,5,Other,0.5,60502
575,38,Woman,USA,4,Data Scientist,3,7561
576,26,Man,USA,4,Data Engineer,0.5,45810
577,54,Man,USA,4,Software Engineer,26,350
578,37,Man,USA,3,Data Scientist,10,52691
579,48,Man,Japan,1,Data Analyst,11,80854
580,26,Man,Japan,4,Other,3,33656
581,31,Man,USA,4,Data Scientist,3,136170
582,46,Man,USA,5,Other,27,194351
583,70,Man,USA,5,Business Analyst,16,87268
584,43,Man,USA,3,Software Engineer,18,99234
585,33,Man,USA,4,Data Analyst,3,70530
586,49,Man,USA,5,Data Analyst,6,112896
587,50,Man,Japan,3,Software Engineer,25,7761
588,24,Man,Japan,2,Business Analyst,3,1395
589,46,Woman,South Korea,3,Data Engineer,8,56206
590,22,Man,China,3,Data Engineer,3,5413
591,24,Woman,USA,4,Machine Learning Engineer,7,130252
592,25,Man,USA,4,Software Engineer,20,144978
593,40,Woman,USA,4,Data Scientist,14,196503
594,47,Man,USA,5,Software Engineer,26,836
595,42,Man,South Korea,3,Program/Project Manager,1,3363
596,54,Man,Japan,3,Program/Project Manager,23,79444
597,22,Man,USA,4,Data Scientist,3,49136
598,25,Man,China,4,Data Engineer,1,7234
599,45,Man,USA,4,Other,1,67297
600,24,Man,China,3,Data Scientist,3,4700
601,39,Woman,USA,4,Product Manager,4,178849
602,39,Man,China,3,Data Engineer,1,23452
603,36,Man,China,3,Software Engineer,19,49385
604,28,Man,Japan,2,Data Analyst,3,41786
605,35,Woman,Japan,3,Other,1,7966
606,33,Man,USA,4,Data Analyst,0.5,61919
607,50,Woman,USA,4,Other,27,81367
608,63,Man,USA,5,Software Engineer,26,137849
609,36,Woman,USA,3,Research Scientist,2,2095
610,28,Man,Japan,4,Data Scientist,3,77197
611,46,Man,Japan,4,Other,1,119204
612,36,Man,USA,4,Data Scientist,9,124294
613,30,Man,USA,4,Data Scientist,2,95043
614,66,Man,USA,5,Other,25,391771
615,55,Man,USA,3,Software Engineer,27,62187
616,31,Woman,China,3,Data Scientist,2,63332
617,25,Man,USA,4,Data Scientist,4,100761
618,40,Woman,USA,4,Business Analyst,3,100633
619,42,Man,USA,3,Data Analyst,14,119928
620,18,Man,China,3,Software Engineer,0.5,13526
621,32,Man,South Korea,4,Data Analyst,0.5,43199
622,57,Man,USA,5,Research Scientist,28,146130
623,53,Man,USA,4,Other,0.5,137225
624,32,Man,Japan,3,Software Engineer,1,45613
625,34,Man,USA,4,Software Engineer,6,101543
626,29,Man,Japan,3,Software Engineer,1,45402
627,28,Man,China,4,Research Scientist,4,43450
628,35,Man,USA,3,Program/Project Manager,6,129916
629,29,Man,USA,3,Software Engineer,5,125868
630,27,Man,USA,4,Data Analyst,1,88168
631,28,Man,Japan,5,Research Scientist,5,544
632,25,Woman,Japan,4,Data Scientist,6,56500
633,30,Woman,China,4,Machine Learning Engineer,3,804
634,36,Woman,USA,5,Other,12,160830
635,36,Man,USA,4,Data Analyst,5,198718
636,40,Man,USA,4,Other,27,151838
637,45,Man,South Korea,4,Software Engineer,25,71160
638,40,Man,South Korea,4,Data Engineer,2,1011666
639,29,Man,Japan,3,Data Scientist,3,4377
640,66,Man,Japan,5,Other,22,23299
641,30,Nonbinary,USA,4,Data Analyst,5,74481
642,34,Man,Japan,4,Product Manager,1,62212
643,28,Man,USA,5,Data Scientist,8,87416
644,42,Man,South Korea,2,Product Manager,0,111606
645,39,Man,USA,3,Other,1,80756
646,37,Man,USA,3,Data Analyst,0,44404
647,63,Man,USA,4,Machine Learning Engineer,23,144192
648,45,Man,USA,5,Other,1,175668
649,22,Man,USA,2,Data Analyst,3,33081
650,36,Man,Japan,3,Machine Learning Engineer,20,50915
651,52,Man,Japan,4,Other,25,13176
652,19,Man,USA,5,Software Engineer,7,2847
653,57,Woman,USA,4,Other,3,48192
654,43,Man,USA,3,Other,5,28891
655,19,Woman,China,3,Data Scientist,1,2302
656,31,Woman,USA,4,Software Engineer,6,129058
657,38,Man,Japan,4,Software Engineer,15,7221
658,28,Man,Japan,3,Software Engineer,1,42276
659,48,Woman,USA,3,Other,0.5,2364
660,25,Man,USA,4,Machine Learning Engineer,6,116439
661,19,Man,China,4,Machine Learning Engineer,0.5,887
662,31,Woman,USA,4,Other,0.5,353
663,38,Man,USA,4,Data Analyst,0.5,75332
664,26,Man,USA,4,Data Scientist,10,101567
665,30,Man,USA,4,Business Analyst,8,141587
666,43,Man,USA,4,Data Analyst,0,60822
667,27,Man,USA,4,Data Scientist,6,83113
668,29,Man,South Korea,4,Data Scientist,3,200
669,30,Man,USA,3,Business Analyst,2,87933
670,21,Man,USA,3,DBA/Database Engineer,2,10263
671,34,Man,Japan,2,Other,3,44731
672,46,Man,USA,4,DBA/Database Engineer,20,98885
673,35,Man,China,2,Software Engineer,15,53180
674,24,Man,China,4,Machine Learning Engineer,1,18
675,33,Man,China,5,Research Scientist,13,47081
676,60,Man,USA,4,DBA/Database Engineer,25,31391
677,54,Man,USA,4,Product Manager,29,894810
678,69,Man,USA,4,Software Engineer,8,183993
679,39,Man,China,5,Research Scientist,3,112893
680,36,Man,Japan,3,Software Engineer,16,68402
681,41,Man,USA,5,Research Scientist,24,172878
682,36,Man,USA,5,Software Engineer,3,75021
683,34,Man,Japan,1,Software Engineer,8,35426
684,41,Man,USA,3,Other,5,124667
685,37,Man,South Korea,3,Machine Learning Engineer,4,31694
686,30,Man,Japan,0,Software Engineer,2,3634
687,54,Man,USA,3,Machine Learning Engineer,5,205947
688,25,Man,USA,3,Data Analyst,0.5,51944
689,64,Man,USA,4,Other,3,127445
690,34,Woman,USA,4,Data Scientist,0.5,88760
691,39,Man,Japan,4,Other,1,9003
692,18,Man,China,2,Data Analyst,1,428
693,29,Man,Japan,3,Data Analyst,0.5,4481
694,53,Man,USA,5,Data Scientist,19,125008
695,29,Man,USA,4,Other,10,145545
696,51,Man,Japan,2,Product Manager,5,80900
697,70,Man,USA,5,Research Scientist,27,227226
698,38,Man,Japan,4,Other,0.5,61660
699,41,Man,USA,0,Software Engineer,22,175785
700,23,Man,China,5,Business Analyst,3,4989
701,31,Man,USA,4,Data Scientist,5,147618
702,49,Woman,USA,5,Program/Project Manager,0.5,155732
703,42,Man,USA,4,Software Engineer,24,251036
704,40,Man,USA,5,Data Scientist,15,108964
705,41,Man,USA,4,Data Analyst,4,118587
706,64,Man,USA,4,Other,0.5,73555
707,29,Woman,China,4,Data Analyst,0.5,10067
708,49,Man,USA,4,Business Analyst,1,218326
709,54,Man,USA,5,Product Manager,22,109784
710,25,Man,USA,3,Other,5,84316
711,38,Woman,USA,4,Data Analyst,3,79676
712,26,Man,USA,2,Data Analyst,0.5,4736
713,45,Man,USA,4,Business Analyst,28,140536
714,38,Man,USA,3,Data Scientist,11,229596
715,43,Man,USA,4,Other,2,58186
716,45,Woman,USA,4,Software Engineer,25,106825
717,39,Man,USA,3,Other,0.5,59209
718,54,Man,Japan,0,Software Engineer,26,81150
719,39,Woman,USA,4,Data Scientist,10,109234
720,52,Man,Japan,3,Software Engineer,25,11010
721,33,Woman,USA,3,Software Engineer,3,2414
722,41,Man,Japan,3,Data Analyst,3,110674
723,50,Man,USA,3,Data Engineer,20,183779
724,45,Man,USA,5,Other,1,64816
725,43,Woman,USA,3,Program/Project Manager,0.5,103742
726,38,Woman,USA,0,Research Scientist,2,23646
727,48,Prefer not to say,Japan,4,Software Engineer,27,8919
728,32,Man,South Korea,3,Business Analyst,0.5,4552
729,45,Man,USA,5,Data Scientist,6,136637
730,35,Man,South Korea,3,Software Engineer,14,86506
731,32,Man,Japan,4,Research Scientist,7,326
732,46,Man,USA,4,Other,25,147837
733,30,Man,China,4,Machine Learning Engineer,9,101369
734,36,Man,USA,5,Data Scientist,18,184724
735,21,Man,China,2,Data Analyst,0.5,972
736,25,Man,China,5,Machine Learning Engineer,1,65075
737,26,Woman,South Korea,3,Data Analyst,3,935
738,35,Man,USA,4,Other,10,160338
739,26,Man,Japan,1,Software Engineer,3,42198
740,53,Woman,USA,4,Other,3,108896
741,45,Man,USA,5,Data Scientist,17,182862
742,56,Man,Japan,3,Research Scientist,3,64470
743,37,Man,USA,3,Data Analyst,3,101204
744,45,Man,South Korea,3,Other,0.5,58494
745,33,Man,China,5,Research Scientist,8,32243
746,48,Man,USA,4,Data Scientist,15,1062148
747,64,Woman,Japan,5,Research Scientist,20,647
748,50,Man,USA,5,Data Scientist,29,183298
749,58,Woman,USA,4,Other,22,618
750,31,Man,Japan,4,Other,10,210376
751,30,Man,Japan,5,Research Scientist,4,43220
752,56,Woman,USA,5,Other,29,251403
753,31,Man,Japan,5,Data Engineer,1,55971
754,57,Man,USA,4,Other,22,778249
755,49,Man,USA,4,Other,20,124843
756,51,Man,Japan,4,Business Analyst,14,14152
757,55,Man,USA,5,Data Scientist,28,236907
758,35,Man,China,4,Data Engineer,13,226806
759,27,Man,South Korea,5,Research Scientist,5,605
760,51,Man,USA,5,Other,1,83798
761,33,Woman,USA,3,Software Engineer,9,70703
762,36,Man,China,2,Data Analyst,4,6112
763,51,Man,Japan,3,Statistician,19,64329
764,50,Man,USA,3,Data Scientist,5,106032
765,46,Man,South Korea,3,Software Engineer,23,119872
766,49,Man,USA,4,Data Scientist,20,173730
767,21,Man,China,3,Business Analyst,0,468
768,49,Man,Japan,5,Research Scientist,24,5015
769,29,Prefer not to say,USA,4,Machine Learning Engineer,6,29397
770,48,Woman,USA,4,Software Engineer,3,392
771,57,Man,USA,4,Data Analyst,5,84145
772,27,Man,USA,4,Research Scientist,2,51437
773,30,Man,USA,4,Other,3,61285
774,37,Man,China,3,Program/Project Manager,11,729
775,29,Woman,Japan,4,Other,0.5,66708
776,25,Man,USA,4,Other,1,64608
777,57,Man,USA,4,Other,25,13014
778,23,Man,China,4,Data Analyst,4,1445
779,30,Man,USA,5,Research Scientist,6,123602
780,49,Man,Japan,3,Program/Project Manager,22,97492
781,46,Woman,USA,2,Data Analyst,1,35951
782,40,Woman,USA,4,Data Scientist,8,111118
783,45,Man,China,5,Program/Project Manager,22,168367
784,27,Man,USA,4,Data Scientist,2,12035
785,28,Man,South Korea,2,Data Scientist,0.5,180
786,36,Man,USA,4,Data Analyst,7,115270
787,34,Man,Japan,3,Program/Project Manager,9,71556
788,45,Man,USA,5,Statistician,11,104253
789,52,Man,USA,3,Software Engineer,12,131047
790,28,Woman,USA,3,Product Manager,6,236473
791,68,Man,USA,4,Data Scientist,29,181141
792,56,Prefer not to say,USA,4,Research Scientist,2,529
793,26,Man,Japan,4,Software Engineer,2,3873
794,64,Man,USA,3,Data Engineer,26,99197
795,35,Man,USA,3,Data Engineer,20,124787
796,52,Woman,USA,4,Data Scientist,24,19108
797,32,Man,Japan,3,Data Analyst,3,45427
798,18,Man,China,3,Data Analyst,0.5,36844
799,53,Woman,USA,4,Software Engineer,22,147022
800,43,Woman,Japan,4,Statistician,3,59337
801,48,Man,South Korea,5,Software Engineer,22,106286
802,52,Man,USA,3,Data Analyst,10,112658
803,27,Man,China,3,Data Analyst,5,29607
804,37,Man,Japan,4,Business Analyst,1,101965
805,24,Man,USA,4,Data Scientist,1,192548
806,51,Man,South Korea,3,Software Engineer,7,116304
807,47,Man,USA,4,Data Scientist,29,1531
808,62,Man,USA,3,Other,0.5,38305
809,51,Man,USA,4,Product Manager,8,169021
810,32,Prefer not to say,USA,0,Software Engineer,8,4382
811,40,Man,USA,3,Program/Project Manager,5,134784
812,36,Man,Japan,3,Research Scientist,3,71816
813,51,Man,USA,4,Data Engineer,29,195483
814,41,Man,USA,4,Developer Relations/Advocacy,9,328589
815,42,Woman,USA,5,Data Analyst,5,109964
816,61,Man,Japan,5,Research Scientist,26,391
817,47,Man,USA,4,Other,1,107760
818,59,Man,USA,3,Other,15,143564
819,32,Man,China,4,Data Engineer,6,126575
820,26,Man,China,3,Developer Relations/Advocacy,0.5,171
821,61,Man,Japan,0,Business Analyst,0,2038
822,28,Man,USA,4,Software Engineer,3,90309
823,45,Man,South Korea,3,Product Manager,0,9379
824,30,Man,USA,3,Data Scientist,9,94024
825,33,Man,USA,4,Software Engineer,14,139776
826,38,Man,USA,5,Machine Learning Engineer,6,93955
827,29,Man,China,4,Data Analyst,1,22863
828,49,Man,USA,5,Other,29,435026
829,64,Man,Japan,5,Research Scientist,5,77
830,54,Woman,Japan,1,Data Analyst,23,8453
831,29,Woman,USA,5,Research Scientist,4,36701
832,33,Woman,China,4,Data Analyst,1,78264
833,36,Man,South Korea,5,Data Scientist,7,51003
834,41,Man,USA,2,Other,28,32785
835,34,Man,USA,4,Data Scientist,15,176749
836,29,Man,South Korea,2,Machine Learning Engineer,2,183
837,59,Woman,USA,4,Product Manager,0.5,286549
838,43,Man,South Korea,0,Data Scientist,13,75171
839,25,Woman,South Korea,5,Data Scientist,5,1305
840,18,Man,USA,4,Software Engineer,4,384
841,36,Woman,China,4,Business Analyst,1,35818
842,34,Man,China,5,Statistician,2,5285
843,32,Man,USA,4,Data Analyst,9,118833
844,48,Man,Japan,4,Machine Learning Engineer,1,839
845,20,Man,Japan,4,Data Engineer,1,386
846,45,Man,Japan,4,Product Manager,24,110911
847,40,Man,USA,5,Data Scientist,23,1028118
848,37,Man,Japan,3,Other,2,70680
849,28,Woman,USA,3,Business Analyst,2,95927
850,22,Man,China,3,Data Engineer,1,2067
851,27,Man,China,5,Data Analyst,0.5,847
852,24,Woman,China,4,Data Scientist,0.5,10787
853,44,Man,USA,4,Software Engineer,29,104058
854,39,Woman,China,5,Data Analyst,15,8324
855,29,Man,Japan,0,Software Engineer,3,3224
856,37,Man,USA,4,Data Scientist,6,186578
857,29,Woman,USA,2,Business Analyst,0.5,50628
858,37,Man,Japan,4,Developer Relations/Advocacy,1,397
859,30,Woman,USA,5,Software Engineer,6,250536
860,33,Man,Japan,3,Data Scientist,2,66627
861,52,Man,USA,5,Other,23,193144
862,38,Man,USA,5,Other,3,232485
863,29,Man,Japan,3,Software Engineer,4,4491
864,35,Man,USA,5,Data Scientist,3,104676
865,60,Man,USA,3,Data Scientist,26,109548
866,33,Man,Japan,4,Machine Learning Engineer,19,67144
867,52,Man,USA,3,Data Scientist,29,773
868,24,Man,USA,4,Machine Learning Engineer,5,91194
869,46,Man,Japan,4,Program/Project Manager,20,96821
870,61,Man,USA,3,Statistician,7,557
871,26,Man,USA,4,Machine Learning Engineer,10,127600
872,23,Man,USA,5,Product Manager,0,874
873,49,Man,Japan,3,Software Engineer,0.5,3638
874,30,Man,China,5,Software Engineer,5,455
875,26,Man,China,3,Business Analyst,0.5,116
876,67,Man,USA,4,Data Engineer,29,185230
877,61,Prefer not to say,USA,4,Software Engineer,19,44138
878,30,Man,USA,4,Software Engineer,10,149109
879,33,Man,USA,3,Data Analyst,4,86767
880,29,Man,China,4,Business Analyst,3,8885
881,27,Woman,Japan,4,Software Engineer,11,40363
882,55,Man,USA,4,Program/Project Manager,3,99166
883,39,Man,Japan,1,Other,3,42714
884,28,Man,USA,3,Research Scientist,4,95049
885,47,Woman,USA,3,Other,19,12572
886,49,Man,USA,4,Data Scientist,15,159320
887,48,Woman,USA,3,Other,0,12981
888,43,Man,USA,4,Data Engineer,3,114270
889,24,Man,China,4,Software Engineer,1,39867
890,40,Man,USA,4,Data Scientist,11,114677
891,57,Man,USA,3,Data Analyst,24,76457
892,43,Woman,USA,5,Data Analyst,25,102430
893,25,Man,Japan,3,Program/Project Manager,0.5,60232
894,47,Man,Japan,0,Research Scientist,2,146612
895,20,Woman,Japan,2,Data Analyst,0.5,589
896,34,Man,USA,4,Data Engineer,18,100458
897,70,Man,USA,5,Research Scientist,28,234986
898,24,Man,USA,4,Software Engineer,3,12224
899,30,Man,USA,2,Data Scientist,14,1095238
900,48,Man,Japan,3,Other,21,67423
901,53,Woman,USA,4,Other,0,62172
902,29,Man,USA,5,Machine Learning Engineer,4,5464
903,35,Woman,USA,3,Other,0,65512
904,33,Man,USA,4,Data Engineer,5,257131
905,22,Nonbinary,USA,3,Product Manager,2,94944
906,27,Man,USA,4,Data Scientist,8,101595
907,50,Man,USA,3,Other,3,86180
908,33,Man,South Korea,4,Software Engineer,3,34372
909,30,Woman,USA,4,Data Scientist,10,132602
910,59,Man,USA,5,Research Scientist,5,88751
911,26,Woman,China,4,Business Analyst,0.5,18208
912,44,Man,USA,4,Data Analyst,13,104710
913,41,Man,Japan,0,Data Engineer,10,54695
914,42,Man,South Korea,3,Machine Learning Engineer,5,58160
915,36,Man,USA,3,Data Scientist,4,126437
916,25,Woman,South Korea,3,Data Engineer,1,674
917,33,Man,China,3,Other,0.5,11411
918,37,Man,USA,4,Data Analyst,10,78931
919,37,Man,South Korea,5,Research Scientist,1,51625
920,34,Man,China,3,Machine Learning Engineer,7,6689
921,59,Man,USA,3,Data Analyst,0,47407
922,47,Man,South Korea,5,Data Scientist,0.5,53584
923,41,Man,Japan,4,Data Scientist,2,1740
924,33,Man,USA,4,Machine Learning Engineer,0,9028
925,36,Man,China,3,Software Engineer,11,3858
926,45,Man,Japan,4,Other,24,7283
927,64,Man,USA,4,Other,4,89470
928,61,Man,USA,5,Data Analyst,26,117404
929,33,Man,USA,4,Data Scientist,8,103038
930,44,Man,China,4,Program/Project Manager,5,20461
931,45,Man,USA,4,Software Engineer,28,142059
932,30,Woman,USA,0,Other,0.5,81549
933,26,Man,Japan,0,Other,1,43274
934,39,Man,Japan,0,Other,19,521
935,51,Man,South Korea,5,Data Engineer,0,16712
936,22,Man,China,4,Data Analyst,0.5,844
937,64,Man,USA,5,Research Scientist,24,334620
938,50,Man,Japan,5,Research Scientist,20,1810
939,26,Man,USA,4,Data Scientist,0.5,150
940,23,Man,China,4,Data Scientist,0.5,398
941,32,Man,Japan,4,Data Engineer,4,42602
942,53,Man,USA,5,Machine Learning Engineer,16,139589
943,30,Woman,USA,4,Program/Project Manager,0,40
944,42,Man,USA,4,Data Analyst,22,778
945,55,Man,USA,5,Other,0,82434
946,25,Man,Japan,4,Software Engineer,6,32896
947,41,Man,Japan,1,Software Engineer,7,56827
948,61,Man,USA,4,Product Manager,25,132487
949,70,Man,USA,5,Statistician,22,58
950,64,Man,USA,2,Data Scientist,24,99801
951,49,Man,Japan,0,Other,0.5,115814
952,27,Man,China,4,Data Scientist,4,4947
953,57,Woman,USA,4,Other,22,246948
954,34,Man,USA,5,Research Scientist,13,115696
955,41,Woman,USA,5,Data Scientist,15,176679
956,32,Man,USA,4,Data Scientist,10,154813
957,34,Man,USA,4,Machine Learning Engineer,10,293610
958,70,Man,Japan,3,Data Scientist,29,46659
959,46,Man,China,4,Program/Project Manager,16,224670
960,46,Man,USA,4,Data Analyst,6,85365
961,31,Man,USA,3,Software Engineer,10,308962
962,33,Man,Japan,5,Data Scientist,9,34590
963,44,Man,USA,4,Data Scientist,15,189651
964,42,Man,USA,3,Product Manager,8,102281
965,27,Man,South Korea,2,Data Engineer,0,2933
966,24,Man,Japan,2,Other,0.5,43798
967,53,Man,USA,2,Data Engineer,18,100610
968,23,Man,Japan,4,Program/Project Manager,5,32767
969,40,Woman,USA,4,Research Scientist,3,935
970,47,Man,Japan,4,Software Engineer,20,70000
971,54,Prefer not to say,USA,4,Data Scientist,18,251842
972,58,Man,USA,3,Data Scientist,24,2020
973,25,Man,USA,4,Research Scientist,0.5,51156
974,41,Man,South Korea,3,Other,2,81102
975,60,Man,USA,5,Other,23,85097
976,36,Woman,USA,2,Other,0,42597
977,34,Man,USA,4,Machine Learning Engineer,16,157126
978,25,Man,USA,3,Data Analyst,1,61895
979,39,Man,USA,4,Business Analyst,0,746
980,43,Man,Japan,2,Software Engineer,5,69093
981,36,Man,China,5,Software Engineer,11,84859
982,51,Man,USA,3,Program/Project Manager,3,114778
983,43,Man,USA,5,Statistician,16,163047
984,55,Man,South Korea,5,Machine Learning Engineer,21,268639
985,30,Man,USA,5,Research Scientist,13,113258
986,61,Man,Japan,0,Research Scientist,23,832
987,29,Man,USA,4,Data Scientist,3,29314
988,35,Man,USA,4,Data Scientist,9,96888
989,60,Man,USA,2,Business Analyst,0,102869
990,48,Man,Japan,5,Research Scientist,3,56070
991,21,Woman,USA,4,Program/Project Manager,0,42516
992,28,Man,USA,4,Data Scientist,4,86327
993,66,Man,Japan,0,Product Manager,0.5,3011
994,27,Man,South Korea,4,Research Scientist,1,334
995,47,Woman,USA,3,Data Analyst,1,4144
996,35,Man,USA,5,Data Scientist,7,85772
997,68,Man,USA,4,Other,0.5,236088
998,21,Woman,USA,4,Data Analyst,8,1134
999,68,Man,Japan,5,Research Scientist,0,162637
1000,37,Man,USA,3,Business Analyst,2,105734
1001,41,Man,Japan,4,Software Engineer,2,959
1002,32,Man,China,3,Other,3,143988
1003,68,Man,USA,5,Other,0.5,80227
1004,22,Man,China,3,Data Scientist,3,3706
1005,26,Man,USA,4,Business Analyst,0,492
1006,36,Man,Japan,4,Data Scientist,3,95
1007,35,Man,USA,3,Data Scientist,20,410373
1008,51,Man,USA,3,Software Engineer,28,111183
1009,31,Man,USA,5,Product Manager,8,184444
1010,61,Man,South Korea,5,Business Analyst,2,53521
1011,36,Man,Japan,3,Software Engineer,12,52572
1012,70,Woman,USA,4,Business Analyst,1,843
1013,68,Man,USA,5,Data Scientist,11,175894
1014,70,Man,USA,4,Data Engineer,28,163745
1015,46,Man,USA,3,Software Engineer,29,342504
1016,23,Man,China,4,Software Engineer,3,557
1017,36,Man,Japan,4,Data Scientist,15,13182
1018,53,Man,Japan,5,Statistician,3,75327
1019,54,Man,Japan,5,Research Scientist,2,98495
1020,44,Woman,USA,4,Product Manager,0,142743
1021,23,Man,Japan,3,Business Analyst,0.5,38338
1022,24,Man,USA,5,Research Scientist,0,991
1023,47,Man,Japan,4,Other,23,100884
1024,58,Man,USA,5,Other,27,101844
1025,34,Man,USA,3,Data Scientist,7,97891
1026,42,Man,USA,5,Research Scientist,23,123987
1027,44,Prefer not to say,USA,5,Data Analyst,12,65463
1028,33,Man,Japan,5,Research Scientist,0.5,124456
1029,29,Man,USA,3,Machine Learning Engineer,8,130798
1030,63,Man,Japan,5,Research Scientist,20,44486
1031,30,Man,USA,4,Data Scientist,5,88568
1032,44,Man,USA,5,Research Scientist,20,8467
1033,37,Man,USA,5,Machine Learning Engineer,13,725273
1034,41,Man,USA,3,Data Scientist,0.5,129
1035,39,Man,USA,5,Data Scientist,5,166582
1036,30,Man,USA,2,Research Scientist,14,86627
1037,29,Man,Japan,4,Research Scientist,3,50861
1038,55,Man,USA,3,Other,25,95
1039,41,Man,Japan,4,Other,0.5,2399
1040,32,Man,Japan,3,Data Scientist,9,240360
1041,37,Man,USA,5,Data Scientist,10,110791
1042,46,Man,Japan,4,Other,0.5,106732
1043,35,Man,Japan,2,Product Manager,18,6298
1044,43,Woman,USA,4,Other,3,56892
1045,64,Man,USA,4,Research Scientist,17,92994
1046,23,Man,USA,3,Research Scientist,5,354
1047,35,Man,China,3,Machine Learning Engineer,6,17559
1048,32,Man,South Korea,1,Other,0.5,2447
1049,49,Man,Japan,4,Other,2,91881
1050,29,Woman,Japan,4,Statistician,0.5,37634
1051,56,Man,Japan,5,Research Scientist,26,399
1052,45,Man,USA,4,Other,0.5,74227
1053,27,Woman,USA,3,Other,4,25971
1054,53,Man,USA,5,Product Manager,27,392155
1055,55,Man,USA,3,Other,26,664
1056,55,Man,USA,3,Software Engineer,21,168106
1057,40,Man,USA,1,Other,3,56068
1058,46,Man,Japan,3,Product Manager,0.5,106841
1059,66,Man,USA,4,DBA/Database Engineer,28,20812
1060,39,Prefer not to say,Japan,2,Other,18,7
1061,31,Woman,Japan,4,Data Scientist,15,65304
1062,30,Man,South Korea,4,Data Scientist,2,58677
1063,43,Man,USA,5,Data Scientist,13,333553
1064,40,Man,Japan,4,Software Engineer,26,30547
1065,51,Man,USA,5,Research Scientist,7,199426
1066,44,Man,USA,3,Data Scientist,14,130823
1067,59,Man,USA,4,Data Scientist,22,203612
1068,39,Woman,USA,3,Product Manager,0,81839
1069,26,Man,China,4,Machine Learning Engineer,2,77139
1070,34,Woman,USA,5,Research Scientist,13,25448
1071,56,Man,USA,4,Program/Project Manager,22,165474
1072,52,Man,USA,3,DBA/Database Engineer,20,140188
1073,32,Man,USA,4,Program/Project Manager,2,134517
1074,34,Man,Japan,5,Research Scientist,0.5,13811
1075,22,Man,USA,3,Business Analyst,2,74804
1076,46,Woman,USA,3,Data Analyst,3,83241
1077,30,Man,USA,4,Machine Learning Engineer,16,121501
1078,43,Man,USA,4,Other,13,111148
1079,35,Man,USA,4,Data Scientist,13,329938
1080,26,Man,South Korea,3,Data Scientist,5,4725
1081,35,Man,USA,4,Data Scientist,9,432706
1082,29,Prefer to self-describe,USA,3,Data Scientist,3,421
1083,24,Man,China,4,Machine Learning Engineer,3,417
1084,33,Man,USA,4,Machine Learning Engineer,4,105008
1085,63,Man,USA,5,Research Scientist,14,189109
1086,44,Woman,USA,4,Business Analyst,0,66842
1087,31,Man,USA,3,Data Scientist,9,147610
1088,34,Man,Japan,4,Software Engineer,0,7444
1089,47,Man,USA,3,Software Engineer,13,97148
1090,23,Man,South Korea,2,Machine Learning Engineer,9,69173
1091,41,Man,USA,4,Data Scientist,14,141978
1092,41,Man,Japan,4,Data Scientist,4,99273
1093,47,Man,USA,4,Data Engineer,23,222554
1094,59,Man,USA,5,Research Scientist,20,191515
1095,41,Man,USA,5,Research Scientist,3,147766
1096,25,Man,USA,3,Business Analyst,0,79784
1097,46,Man,USA,4,Data Scientist,5,133602
1098,49,Man,South Korea,1,Data Scientist,8,12334
1099,27,Man,Japan,2,Software Engineer,3,2149
1100,26,Man,China,4,Data Engineer,1,7195
1101,37,Man,USA,5,Data Analyst,3,59736
1102,49,Man,USA,4,Data Scientist,21,195377
1103,35,Man,China,5,Machine Learning Engineer,13,5558
1104,44,Man,USA,4,Business Analyst,0.5,29942
1105,33,Woman,USA,4,Data Analyst,8,106301
1106,44,Man,South Korea,5,Data Scientist,21,9917
1107,39,Man,Japan,4,Software Engineer,3,55152
1108,52,Man,South Korea,3,Other,3,143086
1109,32,Woman,USA,5,Data Scientist,4,104082
1110,37,Man,Japan,3,Program/Project Manager,19,82861
1111,37,Man,USA,4,Data Scientist,16,198384
1112,34,Man,USA,3,Software Engineer,7,97427
1113,39,Man,USA,4,Machine Learning Engineer,15,282
1114,34,Man,USA,4,Data Engineer,8,84986
1115,34,Man,Japan,1,Software Engineer,3,56301
1116,38,Man,Japan,4,Data Engineer,11,66570
1117,50,Woman,USA,4,Program/Project Manager,5,117523
1118,33,Man,Japan,2,Other,0.5,53794
1119,40,Man,Japan,0,Software Engineer,12,62817
1120,33,Man,Japan,4,Software Engineer,4,54752
1121,30,Man,USA,5,Software Engineer,5,119709
1122,32,Man,USA,4,Business Analyst,5,125752
1123,39,Woman,USA,4,Other,0,77467
1124,25,Man,USA,4,Software Engineer,1,140145
1125,45,Man,USA,4,Program/Project Manager,0.5,142804
1126,46,Man,Japan,5,Other,20,14204
1127,47,Man,China,3,Data Analyst,8,63498
1128,24,Man,USA,4,Research Scientist,11,15853
1129,36,Woman,South Korea,3,Data Analyst,3,47204
1130,33,Man,USA,4,Business Analyst,2,134415
1131,46,Man,Japan,2,Software Engineer,17,465
1132,35,Man,South Korea,5,Research Scientist,0,290
1133,23,Man,China,5,Data Analyst,2,12547
1134,35,Man,USA,4,Data Scientist,9,145416
